Client Name,origincity_code,origincity_lat,origincity_long,destcity_code,destcity_lat,destcity_long,Depart_Days_Count_Sum,all_competitors,competitor_count
AS,ALW,46.095,-118.287777777778,SEA,47.45,-122.3,146,"AS,DL",2
AS,ANC,61.1666666666667,-149.983333333333,CHI,41.8744444444444,-87.6394444444445,384,"AS,UA,AA",3
AS,ANC,61.1666666666667,-149.983333333333,DEN,39.8638888888889,-104.666666666667,256,"AS,UA",2
AS,ANC,61.1666666666667,-149.983333333333,MSP,44.9,-93.2166666666667,384,"AS,SY,DL",3
AS,ANC,61.1666666666667,-149.983333333333,NYC,40.7516666666667,-73.9941666666667,128,UA,1
AS,ANC,61.1666666666667,-149.983333333333,SEA,47.45,-122.3,256,"AS,DL",2
AS,ANC,61.1666666666667,-149.983333333333,SFO,37.6188888888889,-122.391666666667,256,"AS,UA",2
AS,ANC,61.1666666666667,-149.983333333333,SLC,40.7883333333333,-111.977777777778,256,"AS,DL",2
AS,ATL,33.65,-84.4333333333333,PDX,45.5886111111111,-122.5975,256,"AS,DL",2
AS,ATL,33.65,-84.4333333333333,SAN,32.7333333333333,-117.183333333333,640,"AS,NK,WN,F9,DL",5
AS,ATL,33.65,-84.4333333333333,SEA,47.45,-122.3,256,"AS,DL",2
AS,AUS,30.3,-97.7833333333333,SAN,32.7333333333333,-117.183333333333,256,"AS,WN",2
AS,AUS,30.3,-97.7833333333333,SEA,47.45,-122.3,256,"AS,DL",2
AS,AUS,30.3,-97.7833333333333,SFO,37.6188888888889,-122.391666666667,256,"AS,UA",2
AS,BLI,48.7927777777778,-122.5375,SEA,47.45,-122.3,146,"AS,DL",2
AS,BNA,36.1244444444444,-86.6783333333333,SEA,47.45,-122.3,384,"AS,WN,DL",3
AS,BOI,43.5644444444444,-116.222777777778,BUR,34.2005555555556,-118.358611111111,300,"AS,WN,XP",3
AS,BOI,43.5644444444444,-116.222777777778,LAS,36.0833333333333,-115.166666666667,512,"AS,WN,NK,G4",4
AS,BOI,43.5644444444444,-116.222777777778,LAX,33.9333333333333,-118.4,300,"AS,UA,DL",3
AS,BOI,43.5644444444444,-116.222777777778,ORL,28.5333333333333,-81.35,128,AS,1
AS,BOI,43.5644444444444,-116.222777777778,PHX,33.4333333333333,-112.033333333333,384,"AS,WN,AA",3
AS,BOI,43.5644444444444,-116.222777777778,PSP,33.8333333333333,-116.5,100,AS,1
AS,BOI,43.5644444444444,-116.222777777778,SAC,38.5166666666667,-121.5,200,"AS,WN",2
AS,BOI,43.5644444444444,-116.222777777778,SAN,32.7333333333333,-117.183333333333,200,"AS,WN",2
AS,BOI,43.5644444444444,-116.222777777778,SEA,47.45,-122.3,146,"AS,DL",2
AS,BOI,43.5644444444444,-116.222777777778,SFO,37.6188888888889,-122.391666666667,200,"AS,UA",2
AS,BOI,43.5644444444444,-116.222777777778,SJC,37.3527777777778,-121.919444444444,200,"AS,WN",2
AS,BOI,43.5644444444444,-116.222777777778,SNA,33.6755555555556,-117.868333333333,200,"AS,G4",2
AS,BOS,42.3666666666667,-71.0,PDX,45.5886111111111,-122.5975,256,"AS,B6",2
AS,BOS,42.3666666666667,-71.0,SAN,32.7333333333333,-117.183333333333,384,"DL,AS,B6",3
AS,BOS,42.3666666666667,-71.0,SEA,47.45,-122.3,384,"DL,AS,B6",3
AS,BOS,42.3666666666667,-71.0,SFO,37.6188888888889,-122.391666666667,512,"DL,AS,UA,B6",4
AS,BUR,34.2005555555556,-118.358611111111,BOI,43.5644444444444,-116.222777777778,300,"AS,WN,XP",3
AS,BUR,34.2005555555556,-118.358611111111,PDX,45.5886111111111,-122.5975,300,"AS,WN,NK",3
AS,BUR,34.2005555555556,-118.358611111111,SFO,37.6188888888889,-122.391666666667,300,"WN,AS,UA",3
